	readNum	animal
133	read=6096	Nerodia_fasciata_wild_capture
134	read=48783	Nerodia_fasciata_wild_capture
135	read=26937	Nerodia_fasciata_wild_capture
136	read=18797	Nerodia_fasciata_wild_capture
137	read=55727	Nerodia_fasciata_wild_capture
138	read=23010	Nerodia_fasciata_wild_capture
139	read=1757	Nerodia_fasciata_wild_capture
140	read=20367	Nerodia_fasciata_wild_capture
141	read=1397	Nerodia_fasciata_wild_capture
142	read=15775	Nerodia_fasciata_wild_capture
143	read=24394	Nerodia_fasciata_wild_capture
144	read=14103	Nerodia_fasciata_wild_capture
145	read=18255	Nerodia_fasciata_wild_capture
146	read=6021	Nerodia_fasciata_wild_capture
147	read=14537	Nerodia_fasciata_wild_capture
148	read=106	Nerodia_fasciata_wild_capture
149	read=49359	Nerodia_fasciata_wild_capture
150	read=6924	Nerodia_fasciata_wild_capture
151	read=4518	Nerodia_fasciata_wild_capture
152	read=5273	Nerodia_fasciata_wild_capture
153	read=29934	Nerodia_fasciata_wild_capture
154	read=4701	Nerodia_fasciata_wild_capture
155	read=23373	Nerodia_fasciata_wild_capture
156	read=5702	Nerodia_fasciata_wild_capture
157	read=22907	Nerodia_fasciata_wild_capture
158	read=5196	Nerodia_fasciata_wild_capture
159	read=38890	Nerodia_fasciata_wild_capture
160	read=7524	Nerodia_fasciata_wild_capture
161	read=429	Nerodia_fasciata_wild_capture
162	read=22966	Nerodia_fasciata_wild_capture
163	read=314	Nerodia_fasciata_wild_capture
164	read=22824	Nerodia_fasciata_wild_capture
165	read=57841	Nerodia_fasciata_wild_capture
166	read=6347	Nerodia_fasciata_wild_capture
167	read=25072	Nerodia_fasciata_wild_capture
168	read=23178	Nerodia_fasciata_wild_capture
169	read=21419	Nerodia_fasciata_wild_capture
170	read=6975	Nerodia_fasciata_wild_capture
171	read=12989	Nerodia_fasciata_wild_capture
172	read=15591	Nerodia_fasciata_wild_capture
173	read=20563	Nerodia_fasciata_wild_capture
174	read=32869	Nerodia_fasciata_wild_capture
175	read=2098	Nerodia_fasciata_wild_capture
176	read=2070	Nerodia_fasciata_wild_capture
177	read=21561	Nerodia_fasciata_wild_capture
178	read=18976	Nerodia_fasciata_wild_capture
179	read=5456	Nerodia_fasciata_wild_capture
180	read=41597	Nerodia_fasciata_wild_capture
181	read=16635	Nerodia_fasciata_wild_capture
182	read=35190	Nerodia_fasciata_wild_capture
183	read=9899	Nerodia_fasciata_wild_capture
184	read=45803	Nerodia_fasciata_wild_capture
185	read=15987	Nerodia_fasciata_wild_capture
186	read=60095	Nerodia_fasciata_wild_capture
187	read=37832	Nerodia_fasciata_wild_capture
188	read=6023	Nerodia_fasciata_wild_capture
189	read=44952	Nerodia_fasciata_wild_capture
190	read=16803	Nerodia_fasciata_wild_capture
191	read=31880	Nerodia_fasciata_wild_capture
192	read=6424	Nerodia_fasciata_wild_capture
193	read=48287	Nerodia_fasciata_wild_capture
194	read=18993	Nerodia_fasciata_wild_capture
195	read=1670	Nerodia_fasciata_wild_capture
196	read=4337	Nerodia_fasciata_wild_capture
197	read=89176	Nerodia_fasciata_wild_capture
198	read=8257	Nerodia_fasciata_wild_capture
199	read=23918	Nerodia_fasciata_wild_capture
200	read=47898	Nerodia_fasciata_wild_capture
201	read=16390	Nerodia_fasciata_wild_capture
202	read=29770	Nerodia_fasciata_wild_capture
203	read=6027	Nerodia_fasciata_wild_capture
204	read=22971	Nerodia_fasciata_wild_capture
205	read=5554	Nerodia_fasciata_wild_capture
206	read=9876	Nerodia_fasciata_wild_capture
207	read=3269	Nerodia_fasciata_wild_capture
208	read=17683	Nerodia_fasciata_wild_capture
209	read=9473	Nerodia_fasciata_wild_capture
210	read=48475	Nerodia_fasciata_wild_capture
211	read=12387	Nerodia_fasciata_wild_capture
212	read=5058	Nerodia_fasciata_wild_capture
213	read=5850	Nerodia_fasciata_wild_capture
214	read=1770	Nerodia_fasciata_wild_capture
215	read=16388	Nerodia_fasciata_wild_capture
216	read=29050	Nerodia_fasciata_wild_capture
217	read=104	Nerodia_fasciata_wild_capture
218	read=44506	Nerodia_fasciata_wild_capture
219	read=3738	Nerodia_fasciata_wild_capture
220	read=39691	Nerodia_fasciata_wild_capture
221	read=48385	Nerodia_fasciata_wild_capture
222	read=13712	Nerodia_fasciata_wild_capture
223	read=36282	Nerodia_fasciata_wild_capture
224	read=36836	Nerodia_fasciata_wild_capture
225	read=7865	Nerodia_fasciata_wild_capture
226	read=7168	Nerodia_fasciata_wild_capture
227	read=23892	Nerodia_fasciata_wild_capture
228	read=18064	Nerodia_fasciata_wild_capture
229	read=21081	Nerodia_fasciata_wild_capture
230	read=15	Nerodia_fasciata_wild_capture
231	read=12495	Nerodia_fasciata_wild_capture
232	read=14369	Nerodia_fasciata_wild_capture
233	read=4827	Nerodia_fasciata_wild_capture
234	read=13501	Nerodia_fasciata_wild_capture
235	read=28986	Nerodia_fasciata_wild_capture
236	read=7863	Nerodia_fasciata_wild_capture
237	read=42583	Nerodia_fasciata_wild_capture
238	read=5395	Nerodia_fasciata_wild_capture
239	read=20369	Nerodia_fasciata_wild_capture
240	read=26402	Nerodia_fasciata_wild_capture
241	read=28745	Nerodia_fasciata_wild_capture
242	read=17107	Nerodia_fasciata_wild_capture
243	read=25059	Nerodia_fasciata_wild_capture
244	read=4576	Nerodia_fasciata_wild_capture
245	read=4132	Nerodia_fasciata_wild_capture
246	read=4521	Nerodia_fasciata_wild_capture
247	read=1095	Nerodia_fasciata_wild_capture
248	read=40399	Nerodia_fasciata_wild_capture
249	read=20166	Nerodia_fasciata_wild_capture
250	read=30098	Nerodia_fasciata_wild_capture
251	read=57453	Nerodia_fasciata_wild_capture
252	read=27329	Nerodia_fasciata_wild_capture
253	read=12461	Nerodia_fasciata_wild_capture
254	read=15037	Nerodia_fasciata_wild_capture
255	read=27869	Nerodia_fasciata_wild_capture
256	read=18543	Nerodia_fasciata_wild_capture
257	read=4100	Nerodia_fasciata_wild_capture
258	read=21269	Nerodia_fasciata_wild_capture
259	read=12459	Nerodia_fasciata_wild_capture
