	readNum	animal
56	read=1893	Nerodia_fasciata_museum_prep
57	read=32737	Nerodia_fasciata_museum_prep
58	read=12471	Nerodia_fasciata_museum_prep
59	read=60413	Nerodia_fasciata_museum_prep
60	read=40172	Nerodia_fasciata_museum_prep
61	read=25748	Nerodia_fasciata_museum_prep
62	read=51526	Nerodia_fasciata_museum_prep
63	read=15929	Nerodia_fasciata_museum_prep
64	read=5897	Nerodia_fasciata_museum_prep
65	read=152	Nerodia_fasciata_museum_prep
66	read=35878	Nerodia_fasciata_museum_prep
67	read=49321	Nerodia_fasciata_museum_prep
68	read=27458	Nerodia_fasciata_museum_prep
69	read=19605	Nerodia_fasciata_museum_prep
70	read=137361	Nerodia_fasciata_museum_prep
71	read=178455	Nerodia_fasciata_museum_prep
72	read=19884	Nerodia_fasciata_museum_prep
73	read=5485	Nerodia_fasciata_museum_prep
74	read=45182	Nerodia_fasciata_museum_prep
75	read=11434	Nerodia_fasciata_museum_prep
76	read=2789	Nerodia_fasciata_museum_prep
77	read=25322	Nerodia_fasciata_museum_prep
78	read=7861	Nerodia_fasciata_museum_prep
79	read=41156	Nerodia_fasciata_museum_prep
80	read=53852	Nerodia_fasciata_museum_prep
81	read=14934	Nerodia_fasciata_museum_prep
82	read=18465	Nerodia_fasciata_museum_prep
83	read=41867	Nerodia_fasciata_museum_prep
84	read=30460	Nerodia_fasciata_museum_prep
85	read=11408	Nerodia_fasciata_museum_prep
86	read=22067	Nerodia_fasciata_museum_prep
87	read=6003	Nerodia_fasciata_museum_prep
88	read=52154	Nerodia_fasciata_museum_prep
89	read=16799	Nerodia_fasciata_museum_prep
90	read=836	Nerodia_fasciata_museum_prep
91	read=18190	Nerodia_fasciata_museum_prep
92	read=53750	Nerodia_fasciata_museum_prep
93	read=13607	Nerodia_fasciata_museum_prep
94	read=54985	Nerodia_fasciata_museum_prep
95	read=51338	Nerodia_fasciata_museum_prep
96	read=2824	Nerodia_fasciata_museum_prep
97	read=6005	Nerodia_fasciata_museum_prep
98	read=8031	Nerodia_fasciata_museum_prep
99	read=28674	Nerodia_fasciata_museum_prep
100	read=6894	Nerodia_fasciata_museum_prep
101	read=37084	Nerodia_fasciata_museum_prep
102	read=47654	Nerodia_fasciata_museum_prep
103	read=45570	Nerodia_fasciata_museum_prep
104	read=55741	Nerodia_fasciata_museum_prep
105	read=29144	Nerodia_fasciata_museum_prep
106	read=14127	Nerodia_fasciata_museum_prep
107	read=70053	Nerodia_fasciata_museum_prep
108	read=11267	Nerodia_fasciata_museum_prep
109	read=58254	Nerodia_fasciata_museum_prep
110	read=24741	Nerodia_fasciata_museum_prep
111	read=26261	Nerodia_fasciata_museum_prep
112	read=6192	Nerodia_fasciata_museum_prep
113	read=14287	Nerodia_fasciata_museum_prep
114	read=3977	Nerodia_fasciata_museum_prep
115	read=70052	Nerodia_fasciata_museum_prep
116	read=16373	Nerodia_fasciata_museum_prep
117	read=18733	Nerodia_fasciata_museum_prep
118	read=5177	Nerodia_fasciata_museum_prep
119	read=25455	Nerodia_fasciata_museum_prep
120	read=15694	Nerodia_fasciata_museum_prep
121	read=26530	Nerodia_fasciata_museum_prep
122	read=1662	Nerodia_fasciata_museum_prep
123	read=12185	Nerodia_fasciata_museum_prep
124	read=22738	Nerodia_fasciata_museum_prep
125	read=20080	Nerodia_fasciata_museum_prep
126	read=9642	Nerodia_fasciata_museum_prep
127	read=19769	Nerodia_fasciata_museum_prep
128	read=4975	Nerodia_fasciata_museum_prep
